Time,Gesture,Confidence,Frame
00:00:01.170,Open Palm,84.0,107
00:00:01.703,Open Palm,84.0,116
00:00:02.258,Open Palm,84.0,126
00:00:02.804,Open Palm,84.0,135
00:00:05.550,Peace,79.0,181
00:00:05.618,Open Palm,86.0,182
00:00:06.134,Open Palm,84.0,190
00:00:07.031,Thumbs Up,64.0,205
00:00:07.830,Call Me,63.0,219
00:00:08.107,Thumbs Up,59.0,223
00:00:08.419,Call Me,64.0,228
00:00:08.495,Thumbs Up,57.0,230
00:00:09.277,Call Me,64.0,243
00:00:09.383,Thumbs Up,62.0,244
00:00:10.433,Thumbs Up,58.0,262
00:00:11.005,Call Me,91.0,272
00:00:11.094,Closed Fist,58.0,273
00:00:14.136,Rock,63.0,324
00:00:14.222,Open Palm,65.0,325
00:00:16.674,Peace,86.0,366
00:00:16.741,Open Palm,86.0,367
00:00:17.293,Open Palm,84.0,377
00:00:17.795,Open Palm,84.0,385
00:00:18.399,Open Palm,83.0,394
00:00:23.076,Thumbs Up,58.0,473
00:00:23.227,Open Palm,67.0,474
00:00:23.827,Open Palm,84.0,485
00:00:24.374,Open Palm,84.0,494
00:00:24.951,Open Palm,84.0,503
00:00:25.510,Open Palm,76.0,513
00:00:26.080,Open Palm,77.0,523
00:00:26.624,Open Palm,77.0,532
00:00:28.058,Peace,70.0,556
00:00:29.163,Rock,75.0,575
00:00:29.234,Open Palm,79.0,576
00:00:29.807,Open Palm,78.0,585
