Time,Gesture,Confidence,Frame
00:00:01.285,Closed Fist,56.0,639
00:00:01.855,Closed Fist,89.0,646
00:00:03.691,Pointing,55.0,669
00:00:05.769,Peace,64.0,695
00:00:05.851,Open Palm,86.0,696
00:00:06.397,Open Palm,82.0,703
00:00:06.953,Open Palm,83.0,710
00:00:07.514,Open Palm,82.0,717
00:00:11.596,Call Me,56.0,768
00:00:11.678,Open Palm,56.0,769
00:00:12.401,Closed Fist,56.0,778
00:00:12.476,Open Palm,55.0,779
00:00:13.034,Open Palm,56.0,786
00:00:13.581,Closed Fist,77.0,793
00:00:14.695,Closed Fist,56.0,807
00:00:15.263,Closed Fist,55.0,814
00:00:15.583,Open Palm,82.0,818
00:00:16.137,Open Palm,81.0,825
00:00:16.785,Pointing,61.0,833
00:00:17.342,Pointing,57.0,840
00:00:17.821,Open Palm,60.0,846
